image,ground_truth,bbox,predicted_class,confidence
2351.jpg,autorickshaw,"{'xmin': 603, 'ymin': 559, 'xmax': 880, 'ymax': 922, 'class': 'autorickshaw', 'class_id': 5}",,
2351.jpg,autorickshaw,"{'xmin': 1699, 'ymin': 539, 'xmax': 1866, 'ymax': 661, 'class': 'autorickshaw', 'class_id': 5}",,
2351.jpg,motorcycle,"{'xmin': 585, 'ymin': 721, 'xmax': 910, 'ymax': 1080, 'class': 'motorcycle', 'class_id': 4}",,
2351.jpg,scooter,"{'xmin': 1378, 'ymin': 634, 'xmax': 1533, 'ymax': 812, 'class': 'scooter', 'class_id': 6}",,
2351.jpg,car,"{'xmin': 1413, 'ymin': 563, 'xmax': 1735, 'ymax': 763, 'class': 'car', 'class_id': 0}",,
2351.jpg,motorcycle,"{'xmin': 1728, 'ymin': 616, 'xmax': 1885, 'ymax': 762, 'class': 'motorcycle', 'class_id': 4}",,
2351.jpg,scooter,"{'xmin': 406, 'ymin': 616, 'xmax': 516, 'ymax': 695, 'class': 'scooter', 'class_id': 6}",,
2354.jpg,car,"{'xmin': 805, 'ymin': 573, 'xmax': 1029, 'ymax': 784, 'class': 'car', 'class_id': 0}",,
2354.jpg,car,"{'xmin': 1317, 'ymin': 544, 'xmax': 1639, 'ymax': 747, 'class': 'car', 'class_id': 0}",,
2354.jpg,scooter,"{'xmin': 618, 'ymin': 639, 'xmax': 739, 'ymax': 844, 'class': 'scooter', 'class_id': 6}",,
2354.jpg,car,"{'xmin': 1070, 'ymin': 555, 'xmax': 1328, 'ymax': 748, 'class': 'car', 'class_id': 0}",,
2354.jpg,car,"{'xmin': 1428, 'ymin': 605, 'xmax': 1921, 'ymax': 1080, 'class': 'car', 'class_id': 0}",,
2355.jpg,truck,"{'xmin': 595, 'ymin': 411, 'xmax': 798, 'ymax': 575, 'class': 'truck', 'class_id': 1}",,
2355.jpg,truck,"{'xmin': 0, 'ymin': 0, 'xmax': 393, 'ymax': 906, 'class': 'truck', 'class_id': 1}",,
2355.jpg,truck,"{'xmin': 862, 'ymin': 96, 'xmax': 1528, 'ymax': 844, 'class': 'truck', 'class_id': 1}",,
2355.jpg,car,"{'xmin': 1504, 'ymin': 478, 'xmax': 1878, 'ymax': 702, 'class': 'car', 'class_id': 0}",,
2356.jpg,autorickshaw,"{'xmin': 2, 'ymin': 545, 'xmax': 429, 'ymax': 1079, 'class': 'autorickshaw', 'class_id': 5}",,
2359.jpg,motorcycle,"{'xmin': 721, 'ymin': 645, 'xmax': 834, 'ymax': 840, 'class': 'motorcycle', 'class_id': 4}",,
2359.jpg,motorcycle,"{'xmin': 1280, 'ymin': 612, 'xmax': 1369, 'ymax': 727, 'class': 'motorcycle', 'class_id': 4}",,
2359.jpg,motorcycle,"{'xmin': 7, 'ymin': 650, 'xmax': 177, 'ymax': 894, 'class': 'motorcycle', 'class_id': 4}",,
2359.jpg,scooter,"{'xmin': 120, 'ymin': 613, 'xmax': 247, 'ymax': 736, 'class': 'scooter', 'class_id': 6}",,
2359.jpg,car,"{'xmin': 1544, 'ymin': 533, 'xmax': 1919, 'ymax': 737, 'class': 'car', 'class_id': 0}",,
2359.jpg,car,"{'xmin': 302, 'ymin': 584, 'xmax': 611, 'ymax': 788, 'class': 'car', 'class_id': 0}",,
2359.jpg,autorickshaw,"{'xmin': 1005, 'ymin': 554, 'xmax': 1184, 'ymax': 779, 'class': 'autorickshaw', 'class_id': 5}",,
2359.jpg,scooter,"{'xmin': 1668, 'ymin': 621, 'xmax': 1827, 'ymax': 820, 'class': 'scooter', 'class_id': 6}",,
236.jpg,car,"{'xmin': 1479, 'ymin': 592, 'xmax': 1920, 'ymax': 1080, 'class': 'car', 'class_id': 0}",,
236.jpg,truck,"{'xmin': 1047, 'ymin': 413, 'xmax': 1467, 'ymax': 780, 'class': 'truck', 'class_id': 1}",,
236.jpg,scooter,"{'xmin': 862, 'ymin': 589, 'xmax': 944, 'ymax': 709, 'class': 'scooter', 'class_id': 6}",,
2360.jpg,car,"{'xmin': 209, 'ymin': 338, 'xmax': 707, 'ymax': 565, 'class': 'car', 'class_id': 0}",,
2360.jpg,motorcycle,"{'xmin': 134, 'ymin': 368, 'xmax': 246, 'ymax': 449, 'class': 'motorcycle', 'class_id': 4}",,
2360.jpg,truck,"{'xmin': 703, 'ymin': 133, 'xmax': 1157, 'ymax': 512, 'class': 'truck', 'class_id': 1}",,
2362.jpg,car,"{'xmin': 1, 'ymin': 416, 'xmax': 809, 'ymax': 1078, 'class': 'car', 'class_id': 0}",,
2363.jpg,motorcycle,"{'xmin': 972, 'ymin': 670, 'xmax': 1090, 'ymax': 908, 'class': 'motorcycle', 'class_id': 4}",,
2363.jpg,car,"{'xmin': 353, 'ymin': 617, 'xmax': 934, 'ymax': 1000, 'class': 'car', 'class_id': 0}",,
2363.jpg,car,"{'xmin': 1127, 'ymin': 602, 'xmax': 1329, 'ymax': 1021, 'class': 'car', 'class_id': 0}",,
2363.jpg,car,"{'xmin': 1108, 'ymin': 585, 'xmax': 1295, 'ymax': 783, 'class': 'car', 'class_id': 0}",,
2363.jpg,autorickshaw,"{'xmin': 1191, 'ymin': 506, 'xmax': 1918, 'ymax': 1076, 'class': 'autorickshaw', 'class_id': 5}",,
2363.jpg,autorickshaw,"{'xmin': 4, 'ymin': 592, 'xmax': 295, 'ymax': 1079, 'class': 'autorickshaw', 'class_id': 5}",,
2363.jpg,autorickshaw,"{'xmin': 334, 'ymin': 571, 'xmax': 495, 'ymax': 735, 'class': 'autorickshaw', 'class_id': 5}",,
2364.jpg,motorcycle,"{'xmin': 1456, 'ymin': 646, 'xmax': 1663, 'ymax': 923, 'class': 'motorcycle', 'class_id': 4}",,
2364.jpg,car,"{'xmin': 856, 'ymin': 584, 'xmax': 946, 'ymax': 662, 'class': 'car', 'class_id': 0}",,
2365.jpg,car,"{'xmin': 694, 'ymin': 577, 'xmax': 1184, 'ymax': 1016, 'class': 'car', 'class_id': 0}",,
2365.jpg,truck,"{'xmin': 1158, 'ymin': 394, 'xmax': 1720, 'ymax': 979, 'class': 'truck', 'class_id': 1}",,
2365.jpg,car,"{'xmin': 322, 'ymin': 554, 'xmax': 673, 'ymax': 852, 'class': 'car', 'class_id': 0}",,
2365.jpg,motorcycle,"{'xmin': 1757, 'ymin': 736, 'xmax': 1919, 'ymax': 1034, 'class': 'motorcycle', 'class_id': 4}",,
237.jpg,car,"{'xmin': 1268, 'ymin': 604, 'xmax': 1528, 'ymax': 785, 'class': 'car', 'class_id': 0}",,
237.jpg,car,"{'xmin': 841, 'ymin': 628, 'xmax': 1072, 'ymax': 782, 'class': 'car', 'class_id': 0}",,
237.jpg,car,"{'xmin': 522, 'ymin': 613, 'xmax': 778, 'ymax': 721, 'class': 'car', 'class_id': 0}",,
237.jpg,car,"{'xmin': 1439, 'ymin': 638, 'xmax': 1858, 'ymax': 897, 'class': 'car', 'class_id': 0}",,
2373.jpg,autorickshaw,"{'xmin': 922, 'ymin': 553, 'xmax': 1035, 'ymax': 691, 'class': 'autorickshaw', 'class_id': 5}",,
2373.jpg,motorcycle,"{'xmin': 778, 'ymin': 600, 'xmax': 872, 'ymax': 703, 'class': 'motorcycle', 'class_id': 4}",,
2373.jpg,autorickshaw,"{'xmin': 1016, 'ymin': 558, 'xmax': 1092, 'ymax': 656, 'class': 'autorickshaw', 'class_id': 5}",,
2373.jpg,scooter,"{'xmin': 1124, 'ymin': 639, 'xmax': 1241, 'ymax': 851, 'class': 'scooter', 'class_id': 6}",,
2373.jpg,scooter,"{'xmin': 608, 'ymin': 646, 'xmax': 717, 'ymax': 823, 'class': 'scooter', 'class_id': 6}",,
2374.jpg,bus,"{'xmin': 1134, 'ymin': 366, 'xmax': 1639, 'ymax': 760, 'class': 'bus', 'class_id': 2}",,
2375.jpg,motorcycle,"{'xmin': 185, 'ymin': 714, 'xmax': 487, 'ymax': 1079, 'class': 'motorcycle', 'class_id': 4}",,
2375.jpg,autorickshaw,"{'xmin': 1261, 'ymin': 566, 'xmax': 1429, 'ymax': 763, 'class': 'autorickshaw', 'class_id': 5}",,
2375.jpg,autorickshaw,"{'xmin': 877, 'ymin': 565, 'xmax': 1038, 'ymax': 773, 'class': 'autorickshaw', 'class_id': 5}",,
2375.jpg,autorickshaw,"{'xmin': 702, 'ymin': 558, 'xmax': 853, 'ymax': 750, 'class': 'autorickshaw', 'class_id': 5}",,
2375.jpg,truck,"{'xmin': 1170, 'ymin': 536, 'xmax': 1320, 'ymax': 700, 'class': 'truck', 'class_id': 1}",,
2375.jpg,motorcycle,"{'xmin': 621, 'ymin': 731, 'xmax': 1119, 'ymax': 1079, 'class': 'motorcycle', 'class_id': 4}",,
2375.jpg,car,"{'xmin': 1626, 'ymin': 553, 'xmax': 1892, 'ymax': 705, 'class': 'car', 'class_id': 0}",,
2375.jpg,motorcycle,"{'xmin': 546, 'ymin': 687, 'xmax': 803, 'ymax': 1074, 'class': 'motorcycle', 'class_id': 4}",,
2375.jpg,scooter,"{'xmin': 1753, 'ymin': 678, 'xmax': 1920, 'ymax': 1022, 'class': 'scooter', 'class_id': 6}",,
2375.jpg,car,"{'xmin': 2, 'ymin': 554, 'xmax': 256, 'ymax': 712, 'class': 'car', 'class_id': 0}",,
2375.jpg,car,"{'xmin': 334, 'ymin': 602, 'xmax': 776, 'ymax': 874, 'class': 'car', 'class_id': 0}",,
2377.jpg,car,"{'xmin': 1668, 'ymin': 635, 'xmax': 1920, 'ymax': 1080, 'class': 'car', 'class_id': 0}",,
2377.jpg,motorcycle,"{'xmin': 620, 'ymin': 631, 'xmax': 887, 'ymax': 939, 'class': 'motorcycle', 'class_id': 4}",,
2377.jpg,autorickshaw,"{'xmin': 867, 'ymin': 474, 'xmax': 1709, 'ymax': 1075, 'class': 'autorickshaw', 'class_id': 5}",,
2378.jpg,car,"{'xmin': 1139, 'ymin': 553, 'xmax': 1281, 'ymax': 660, 'class': 'car', 'class_id': 0}",,
2378.jpg,bus,"{'xmin': 1002, 'ymin': 458, 'xmax': 1156, 'ymax': 633, 'class': 'bus', 'class_id': 2}",,
2378.jpg,car,"{'xmin': 1247, 'ymin': 536, 'xmax': 1570, 'ymax': 794, 'class': 'car', 'class_id': 0}",,
2378.jpg,motorcycle,"{'xmin': 821, 'ymin': 616, 'xmax': 939, 'ymax': 809, 'class': 'motorcycle', 'class_id': 4}",,
238.jpg,scooter,"{'xmin': 1, 'ymin': 656, 'xmax': 120, 'ymax': 783, 'class': 'scooter', 'class_id': 6}",,
238.jpg,scooter,"{'xmin': 337, 'ymin': 631, 'xmax': 491, 'ymax': 742, 'class': 'scooter', 'class_id': 6}",,
238.jpg,car,"{'xmin': 1352, 'ymin': 590, 'xmax': 1793, 'ymax': 798, 'class': 'car', 'class_id': 0}",,
238.jpg,truck,"{'xmin': 886, 'ymin': 566, 'xmax': 1124, 'ymax': 655, 'class': 'truck', 'class_id': 1}",,
2381.jpg,car,"{'xmin': 1020, 'ymin': 478, 'xmax': 1299, 'ymax': 695, 'class': 'car', 'class_id': 0}",,
2382.jpg,autorickshaw,"{'xmin': 966, 'ymin': 618, 'xmax': 1325, 'ymax': 855, 'class': 'autorickshaw', 'class_id': 5}",,
2382.jpg,scooter,"{'xmin': 405, 'ymin': 714, 'xmax': 640, 'ymax': 890, 'class': 'scooter', 'class_id': 6}",,
2382.jpg,car,"{'xmin': 1337, 'ymin': 641, 'xmax': 1530, 'ymax': 777, 'class': 'car', 'class_id': 0}",,
2382.jpg,autorickshaw,"{'xmin': 1, 'ymin': 591, 'xmax': 213, 'ymax': 1080, 'class': 'autorickshaw', 'class_id': 5}",,
2384.jpg,autorickshaw,"{'xmin': 1230, 'ymin': 553, 'xmax': 1480, 'ymax': 852, 'class': 'autorickshaw', 'class_id': 5}",,
2384.jpg,motorcycle,"{'xmin': 1503, 'ymin': 621, 'xmax': 1671, 'ymax': 859, 'class': 'motorcycle', 'class_id': 4}",,
2384.jpg,motorcycle,"{'xmin': 1680, 'ymin': 700, 'xmax': 1920, 'ymax': 925, 'class': 'motorcycle', 'class_id': 4}",,
2384.jpg,scooter,"{'xmin': 556, 'ymin': 650, 'xmax': 639, 'ymax': 815, 'class': 'scooter', 'class_id': 6}",,
2384.jpg,scooter,"{'xmin': 734, 'ymin': 747, 'xmax': 988, 'ymax': 1079, 'class': 'scooter', 'class_id': 6}",,
2384.jpg,truck,"{'xmin': 902, 'ymin': 484, 'xmax': 1220, 'ymax': 804, 'class': 'truck', 'class_id': 1}",,
2384.jpg,motorcycle,"{'xmin': 431, 'ymin': 683, 'xmax': 586, 'ymax': 919, 'class': 'motorcycle', 'class_id': 4}",,
2385.jpg,autorickshaw,"{'xmin': 1180, 'ymin': 577, 'xmax': 1365, 'ymax': 822, 'class': 'autorickshaw', 'class_id': 5}",,
2385.jpg,autorickshaw,"{'xmin': 1290, 'ymin': 552, 'xmax': 1741, 'ymax': 1052, 'class': 'autorickshaw', 'class_id': 5}",,
2386.jpg,motorcycle,"{'xmin': 611, 'ymin': 606, 'xmax': 701, 'ymax': 746, 'class': 'motorcycle', 'class_id': 4}",,
2386.jpg,truck,"{'xmin': 784, 'ymin': 477, 'xmax': 1005, 'ymax': 770, 'class': 'truck', 'class_id': 1}",,
2386.jpg,car,"{'xmin': 2, 'ymin': 590, 'xmax': 448, 'ymax': 1076, 'class': 'car', 'class_id': 0}",,
2387.jpg,motorcycle,"{'xmin': 317, 'ymin': 660, 'xmax': 519, 'ymax': 981, 'class': 'motorcycle', 'class_id': 4}",,
2387.jpg,motorcycle,"{'xmin': 1315, 'ymin': 626, 'xmax': 1439, 'ymax': 782, 'class': 'motorcycle', 'class_id': 4}",,
2387.jpg,autorickshaw,"{'xmin': 1011, 'ymin': 527, 'xmax': 1330, 'ymax': 924, 'class': 'autorickshaw', 'class_id': 5}",,
2388.jpg,car,"{'xmin': 908, 'ymin': 544, 'xmax': 1068, 'ymax': 665, 'class': 'car', 'class_id': 0}",,
2388.jpg,car,"{'xmin': 783, 'ymin': 557, 'xmax': 925, 'ymax': 679, 'class': 'car', 'class_id': 0}",,
2388.jpg,scooter,"{'xmin': 1187, 'ymin': 662, 'xmax': 1390, 'ymax': 927, 'class': 'scooter', 'class_id': 6}",,
2388.jpg,autorickshaw,"{'xmin': 1353, 'ymin': 565, 'xmax': 1684, 'ymax': 924, 'class': 'autorickshaw', 'class_id': 5}",,
2388.jpg,motorcycle,"{'xmin': 490, 'ymin': 718, 'xmax': 674, 'ymax': 1054, 'class': 'motorcycle', 'class_id': 4}",,
2388.jpg,car,"{'xmin': 1029, 'ymin': 527, 'xmax': 1280, 'ymax': 726, 'class': 'car', 'class_id': 0}",,
2390.jpg,car,"{'xmin': 1285, 'ymin': 473, 'xmax': 1475, 'ymax': 600, 'class': 'car', 'class_id': 0}",,
2390.jpg,truck,"{'xmin': 1666, 'ymin': 346, 'xmax': 1920, 'ymax': 593, 'class': 'truck', 'class_id': 1}",,
2390.jpg,motorcycle,"{'xmin': 691, 'ymin': 503, 'xmax': 780, 'ymax': 646, 'class': 'motorcycle', 'class_id': 4}",,
2390.jpg,truck,"{'xmin': 1429, 'ymin': 385, 'xmax': 1668, 'ymax': 558, 'class': 'truck', 'class_id': 1}",,
2391.jpg,motorcycle,"{'xmin': 216, 'ymin': 660, 'xmax': 395, 'ymax': 813, 'class': 'motorcycle', 'class_id': 4}",,
2391.jpg,car,"{'xmin': 1020, 'ymin': 596, 'xmax': 1060, 'ymax': 630, 'class': 'car', 'class_id': 0}",,
2392.jpg,scooter,"{'xmin': 781, 'ymin': 584, 'xmax': 851, 'ymax': 666, 'class': 'scooter', 'class_id': 6}",,
2392.jpg,motorcycle,"{'xmin': 2, 'ymin': 708, 'xmax': 253, 'ymax': 1078, 'class': 'motorcycle', 'class_id': 4}",,
2392.jpg,motorcycle,"{'xmin': 389, 'ymin': 618, 'xmax': 575, 'ymax': 912, 'class': 'motorcycle', 'class_id': 4}",,
2392.jpg,scooter,"{'xmin': 677, 'ymin': 604, 'xmax': 746, 'ymax': 661, 'class': 'scooter', 'class_id': 6}",,
2393.jpg,scooter,"{'xmin': 1345, 'ymin': 670, 'xmax': 1487, 'ymax': 869, 'class': 'scooter', 'class_id': 6}",,
2393.jpg,car,"{'xmin': 907, 'ymin': 576, 'xmax': 1296, 'ymax': 904, 'class': 'car', 'class_id': 0}",,
2393.jpg,car,"{'xmin': 1542, 'ymin': 808, 'xmax': 1918, 'ymax': 1080, 'class': 'car', 'class_id': 0}",,
2393.jpg,car,"{'xmin': 72, 'ymin': 514, 'xmax': 301, 'ymax': 618, 'class': 'car', 'class_id': 0}",,
2393.jpg,autorickshaw,"{'xmin': 548, 'ymin': 539, 'xmax': 724, 'ymax': 730, 'class': 'autorickshaw', 'class_id': 5}",,
2393.jpg,motorcycle,"{'xmin': 804, 'ymin': 623, 'xmax': 905, 'ymax': 787, 'class': 'motorcycle', 'class_id': 4}",,
2395.jpg,autorickshaw,"{'xmin': 534, 'ymin': 338, 'xmax': 735, 'ymax': 593, 'class': 'autorickshaw', 'class_id': 5}",,
2395.jpg,autorickshaw,"{'xmin': 388, 'ymin': 340, 'xmax': 501, 'ymax': 482, 'class': 'autorickshaw', 'class_id': 5}",,
2395.jpg,autorickshaw,"{'xmin': 2, 'ymin': 342, 'xmax': 393, 'ymax': 720, 'class': 'autorickshaw', 'class_id': 5}",,
2396.jpg,motorcycle,"{'xmin': 1469, 'ymin': 627, 'xmax': 1619, 'ymax': 786, 'class': 'motorcycle', 'class_id': 4}",,
2396.jpg,scooter,"{'xmin': 1576, 'ymin': 626, 'xmax': 1712, 'ymax': 784, 'class': 'scooter', 'class_id': 6}",,
2396.jpg,motorcycle,"{'xmin': 70, 'ymin': 842, 'xmax': 493, 'ymax': 1079, 'class': 'motorcycle', 'class_id': 4}",,
2396.jpg,motorcycle,"{'xmin': 1059, 'ymin': 634, 'xmax': 1137, 'ymax': 756, 'class': 'motorcycle', 'class_id': 4}",,
2396.jpg,autorickshaw,"{'xmin': 725, 'ymin': 568, 'xmax': 1029, 'ymax': 943, 'class': 'autorickshaw', 'class_id': 5}",,
2398.jpg,autorickshaw,"{'xmin': 274, 'ymin': 447, 'xmax': 365, 'ymax': 559, 'class': 'autorickshaw', 'class_id': 5}",,
2398.jpg,scooter,"{'xmin': 292, 'ymin': 546, 'xmax': 438, 'ymax': 786, 'class': 'scooter', 'class_id': 6}",,
2399.jpg,car,"{'xmin': 1273, 'ymin': 694, 'xmax': 1918, 'ymax': 1076, 'class': 'car', 'class_id': 0}",,
2399.jpg,car,"{'xmin': 833, 'ymin': 645, 'xmax': 1217, 'ymax': 1000, 'class': 'car', 'class_id': 0}",,
2399.jpg,truck,"{'xmin': 1103, 'ymin': 398, 'xmax': 1549, 'ymax': 844, 'class': 'truck', 'class_id': 1}",,
2399.jpg,motorcycle,"{'xmin': 724, 'ymin': 698, 'xmax': 842, 'ymax': 881, 'class': 'motorcycle', 'class_id': 4}",,
24.jpg,scooter,"{'xmin': 1284, 'ymin': 649, 'xmax': 1370, 'ymax': 760, 'class': 'scooter', 'class_id': 6}",,
24.jpg,motorcycle,"{'xmin': 1543, 'ymin': 626, 'xmax': 1739, 'ymax': 834, 'class': 'motorcycle', 'class_id': 4}",,
24.jpg,scooter,"{'xmin': 651, 'ymin': 654, 'xmax': 740, 'ymax': 814, 'class': 'scooter', 'class_id': 6}",,
24.jpg,motorcycle,"{'xmin': 521, 'ymin': 642, 'xmax': 657, 'ymax': 740, 'class': 'motorcycle', 'class_id': 4}",,
240.jpg,car,"{'xmin': 453, 'ymin': 634, 'xmax': 770, 'ymax': 888, 'class': 'car', 'class_id': 0}",,
240.jpg,car,"{'xmin': 915, 'ymin': 621, 'xmax': 1714, 'ymax': 1050, 'class': 'car', 'class_id': 0}",,
240.jpg,car,"{'xmin': 1, 'ymin': 666, 'xmax': 638, 'ymax': 1078, 'class': 'car', 'class_id': 0}",,
2400.jpg,car,"{'xmin': 319, 'ymin': 593, 'xmax': 528, 'ymax': 804, 'class': 'car', 'class_id': 0}",,
2400.jpg,bus,"{'xmin': 1342, 'ymin': 185, 'xmax': 1920, 'ymax': 779, 'class': 'bus', 'class_id': 2}",,
2400.jpg,car,"{'xmin': 485, 'ymin': 604, 'xmax': 883, 'ymax': 913, 'class': 'car', 'class_id': 0}",,
2401.jpg,truck,"{'xmin': 1410, 'ymin': 431, 'xmax': 1917, 'ymax': 1080, 'class': 'truck', 'class_id': 1}",,
2402.jpg,car,"{'xmin': 953, 'ymin': 539, 'xmax': 1062, 'ymax': 663, 'class': 'car', 'class_id': 0}",,
2402.jpg,car,"{'xmin': 1275, 'ymin': 576, 'xmax': 1503, 'ymax': 743, 'class': 'car', 'class_id': 0}",,
2402.jpg,car,"{'xmin': 1151, 'ymin': 570, 'xmax': 1262, 'ymax': 657, 'class': 'car', 'class_id': 0}",,
2403.jpg,autorickshaw,"{'xmin': 1469, 'ymin': 549, 'xmax': 1619, 'ymax': 678, 'class': 'autorickshaw', 'class_id': 5}",,
2403.jpg,motorcycle,"{'xmin': 239, 'ymin': 773, 'xmax': 613, 'ymax': 1079, 'class': 'motorcycle', 'class_id': 4}",,
2403.jpg,motorcycle,"{'xmin': 1, 'ymin': 783, 'xmax': 208, 'ymax': 1080, 'class': 'motorcycle', 'class_id': 4}",,
2403.jpg,car,"{'xmin': 797, 'ymin': 575, 'xmax': 1047, 'ymax': 683, 'class': 'car', 'class_id': 0}",,
2403.jpg,autorickshaw,"{'xmin': 1236, 'ymin': 548, 'xmax': 1405, 'ymax': 674, 'class': 'autorickshaw', 'class_id': 5}",,
2403.jpg,scooter,"{'xmin': 1307, 'ymin': 594, 'xmax': 1408, 'ymax': 699, 'class': 'scooter', 'class_id': 6}",,
2403.jpg,motorcycle,"{'xmin': 1769, 'ymin': 626, 'xmax': 1920, 'ymax': 797, 'class': 'motorcycle', 'class_id': 4}",,
2405.jpg,motorcycle,"{'xmin': 1332, 'ymin': 715, 'xmax': 1556, 'ymax': 1063, 'class': 'motorcycle', 'class_id': 4}",,
2405.jpg,autorickshaw,"{'xmin': 809, 'ymin': 551, 'xmax': 1045, 'ymax': 849, 'class': 'autorickshaw', 'class_id': 5}",,
2405.jpg,motorcycle,"{'xmin': 730, 'ymin': 628, 'xmax': 828, 'ymax': 776, 'class': 'motorcycle', 'class_id': 4}",,
2405.jpg,scooter,"{'xmin': 1187, 'ymin': 647, 'xmax': 1303, 'ymax': 835, 'class': 'scooter', 'class_id': 6}",,
2405.jpg,motorcycle,"{'xmin': 52, 'ymin': 866, 'xmax': 532, 'ymax': 1079, 'class': 'motorcycle', 'class_id': 4}",,
2406.jpg,car,"{'xmin': 285, 'ymin': 555, 'xmax': 469, 'ymax': 666, 'class': 'car', 'class_id': 0}",,
2406.jpg,car,"{'xmin': 1077, 'ymin': 587, 'xmax': 1648, 'ymax': 997, 'class': 'car', 'class_id': 0}",,
2406.jpg,scooter,"{'xmin': 338, 'ymin': 664, 'xmax': 561, 'ymax': 972, 'class': 'scooter', 'class_id': 6}",,
2407.jpg,bus,"{'xmin': 816, 'ymin': 438, 'xmax': 1107, 'ymax': 755, 'class': 'bus', 'class_id': 2}",,
2407.jpg,autorickshaw,"{'xmin': 1, 'ymin': 609, 'xmax': 519, 'ymax': 1080, 'class': 'autorickshaw', 'class_id': 5}",,
2407.jpg,bus,"{'xmin': 1337, 'ymin': 517, 'xmax': 1820, 'ymax': 773, 'class': 'bus', 'class_id': 2}",,
2408.jpg,car,"{'xmin': 824, 'ymin': 457, 'xmax': 932, 'ymax': 565, 'class': 'car', 'class_id': 0}",,
2408.jpg,bus,"{'xmin': 1, 'ymin': 177, 'xmax': 590, 'ymax': 717, 'class': 'bus', 'class_id': 2}",,
2408.jpg,car,"{'xmin': 860, 'ymin': 473, 'xmax': 1255, 'ymax': 868, 'class': 'car', 'class_id': 0}",,
2408.jpg,mini-bus,"{'xmin': 1720, 'ymin': 434, 'xmax': 1891, 'ymax': 511, 'class': 'mini-bus', 'class_id': 3}",,
2408.jpg,bus,"{'xmin': 625, 'ymin': 385, 'xmax': 769, 'ymax': 456, 'class': 'bus', 'class_id': 2}",,
2408.jpg,autorickshaw,"{'xmin': 586, 'ymin': 459, 'xmax': 795, 'ymax': 716, 'class': 'autorickshaw', 'class_id': 5}",,
2410.jpg,car,"{'xmin': 899, 'ymin': 456, 'xmax': 991, 'ymax': 570, 'class': 'car', 'class_id': 0}",,
2410.jpg,car,"{'xmin': 792, 'ymin': 485, 'xmax': 968, 'ymax': 653, 'class': 'car', 'class_id': 0}",,
2411.jpg,motorcycle,"{'xmin': 487, 'ymin': 724, 'xmax': 786, 'ymax': 1079, 'class': 'motorcycle', 'class_id': 4}",,
2411.jpg,scooter,"{'xmin': 1096, 'ymin': 657, 'xmax': 1177, 'ymax': 791, 'class': 'scooter', 'class_id': 6}",,
2411.jpg,car,"{'xmin': 1176, 'ymin': 649, 'xmax': 1531, 'ymax': 934, 'class': 'car', 'class_id': 0}",,
2411.jpg,truck,"{'xmin': 1076, 'ymin': 497, 'xmax': 1276, 'ymax': 729, 'class': 'truck', 'class_id': 1}",,
2411.jpg,car,"{'xmin': 1528, 'ymin': 649, 'xmax': 1831, 'ymax': 827, 'class': 'car', 'class_id': 0}",,
2411.jpg,car,"{'xmin': 902, 'ymin': 621, 'xmax': 1084, 'ymax': 768, 'class': 'car', 'class_id': 0}",,
2412.jpg,car,"{'xmin': 971, 'ymin': 528, 'xmax': 1215, 'ymax': 798, 'class': 'car', 'class_id': 0}",,
2414.jpg,car,"{'xmin': 1043, 'ymin': 352, 'xmax': 1167, 'ymax': 420, 'class': 'car', 'class_id': 0}",,
2414.jpg,autorickshaw,"{'xmin': 571, 'ymin': 323, 'xmax': 712, 'ymax': 503, 'class': 'autorickshaw', 'class_id': 5}",,
2414.jpg,car,"{'xmin': 761, 'ymin': 326, 'xmax': 1008, 'ymax': 490, 'class': 'car', 'class_id': 0}",,
2414.jpg,mini-bus,"{'xmin': 341, 'ymin': 261, 'xmax': 494, 'ymax': 411, 'class': 'mini-bus', 'class_id': 3}",,
2415.jpg,motorcycle,"{'xmin': 515, 'ymin': 643, 'xmax': 625, 'ymax': 796, 'class': 'motorcycle', 'class_id': 4}",,
2415.jpg,car,"{'xmin': 894, 'ymin': 577, 'xmax': 1021, 'ymax': 688, 'class': 'car', 'class_id': 0}",,
2417.jpg,autorickshaw,"{'xmin': 300, 'ymin': 552, 'xmax': 457, 'ymax': 709, 'class': 'autorickshaw', 'class_id': 5}",,
2417.jpg,autorickshaw,"{'xmin': 1, 'ymin': 533, 'xmax': 288, 'ymax': 1040, 'class': 'autorickshaw', 'class_id': 5}",,
2417.jpg,motorcycle,"{'xmin': 244, 'ymin': 693, 'xmax': 530, 'ymax': 1080, 'class': 'motorcycle', 'class_id': 4}",,
2417.jpg,car,"{'xmin': 485, 'ymin': 547, 'xmax': 777, 'ymax': 791, 'class': 'car', 'class_id': 0}",,
2417.jpg,motorcycle,"{'xmin': 1414, 'ymin': 613, 'xmax': 1530, 'ymax': 769, 'class': 'motorcycle', 'class_id': 4}",,
2417.jpg,car,"{'xmin': 1545, 'ymin': 588, 'xmax': 1867, 'ymax': 772, 'class': 'car', 'class_id': 0}",,
2417.jpg,motorcycle,"{'xmin': 513, 'ymin': 714, 'xmax': 822, 'ymax': 1080, 'class': 'motorcycle', 'class_id': 4}",,
242.jpg,car,"{'xmin': 1017, 'ymin': 513, 'xmax': 1719, 'ymax': 1080, 'class': 'car', 'class_id': 0}",,
242.jpg,autorickshaw,"{'xmin': 651, 'ymin': 504, 'xmax': 885, 'ymax': 777, 'class': 'autorickshaw', 'class_id': 5}",,
